time,trade_price,trade_volume,ask,bid
94618170,22500,1200,3397323,3616295
94629090,22500,1100,3397323,3640406
94640150,22500,1000,3397323,3665993
94645300,22500,100000,3397323,3677942
94645880,22500,1500,3397323,3679491
94645960,22500,6900,3397323,3679722
94645980,22500,3500,3397323,3679772
94646310,22500,1900,3397323,3680712
94646610,22500,5400,3397323,3681548
94648390,22500,2000,3397323,3685433
94651440,22500,1000,3397323,3692417
94700090,22400,3600,3711574,1148718
94702250,22500,1100,3397323,3716863
94703430,22500,100,3397323,3719037
94713030,22500,200,3397323,3739665
94713250,22500,1200,3397323,3740248
94714810,22500,3000,3397323,3743216
94715980,22400,100,3745423,1148718
94720960,22500,100,3397323,3754681
94722530,22400,400,3758586,1148718
94722530,22400,700,3758586,1157623
94724700,22500,1000,3397323,3762581
94724870,22500,10000,3397323,3762941
94735070,22500,1200,3397323,3782198
94745240,22400,900,3801486,1157623
94746400,22500,1000,3397323,3803894
94751260,22500,4800,3397323,3812942
94751290,22500,8000,3397323,3812991
94751560,22500,4900,3397323,3813431
94751560,22500,300,3410762,3813431
94753940,22500,3900,3410762,3818213
94754180,22500,3600,3410762,3818603
94754700,22500,3900,3410762,3819550
94756620,22500,1700,3410762,3823359
94756920,22500,1800,3410762,3823844
94756940,22500,4600,3410762,3823875
94757240,22500,200,3410762,3824347
94757240,22500,1000,3438921,3824347
94802570,22500,1900,3438921,3834964
94802570,22500,8000,3438921,3834971
94806910,22400,3400,3843494,1157623
94806910,22400,20000,3843494,1211383
94806910,22400,600,3843494,1224582
94806920,22500,3000,3438921,3843501
94807180,22500,4700,3438921,3844214
94807320,22500,1700,3438921,3844830
94808600,22500,1100,3438921,3847387
94810530,22500,30100,3438921,3851253
94810530,22500,9100,3449346,3851253
94810530,22500,6400,3472763,3851253
94812170,22500,6900,3472763,3854180
94817770,22500,7500,3472763,3865105
94817790,22500,6000,3472763,3865123
94817850,22500,1200,3472763,3865260
94818680,22500,12000,3472763,3866691
94818680,22500,800,3477439,3866691
94819110,22500,1000,3477439,3867671
94821600,22500,8000,3477439,3871918
94830430,22500,200,3477439,3887198
94830430,22500,1000,3486872,3887198
94835890,22500,8000,3486872,3897098
94841550,22500,1000,3486872,3906723
94842040,22500,900,3486872,3907369
94847190,22500,200,3486872,3916329
94849200,22500,1200,3486872,3919834
94850580,22500,500,3486872,3922276
94850690,22500,8000,3486872,3922458
94852240,22500,4300,3486872,3925445
94852240,22500,4600,3494866,3925445
94852610,22500,1100,3494866,3926232
94854080,22500,1000,3494866,3928483
94855110,22500,1000,3494866,3930603
94857540,22400,1450,3934535,1224582
94903620,22500,1200,3494866,3945323
94909840,22500,1000,3494866,3956566
94913120,22500,100,3494866,3962602
94913120,22500,1000,3506097,3962602
94914070,22500,1000,3506097,3964408
94915390,22500,5000,3506097,3966469
94925020,22500,1100,3506097,3983794
94934220,22500,3000,3506097,3999692
94934580,22500,5600,3506097,4000325
94936210,22400,50,4002960,1224582
94936210,22400,5000,4002960,1242794
94936210,22400,4950,4002960,1299958
94936520,22500,1000,3506097,4003644
94947110,22500,1100,3506097,4021360
