wind_code,date,time,index,function_code,order_kind,bs_flag,trade_price,trade_volume,ask_order,bid_order
000629.SZ,20200327,93010080,692583,0,0,S,22600,5800,692581,231595
000629.SZ,20200327,93010110,692953,C,0,0,0,50000,0,665305
000629.SZ,20200327,93010440,697508,0,0,B,22700,1000,245839,697507
000629.SZ,20200327,93012560,714949,0,0,B,22700,2000,245839,714948
000629.SZ,20200327,93013390,721651,0,0,B,22700,2300,245839,721650
000629.SZ,20200327,93015370,733974,0,0,S,22600,200,733973,231595
000629.SZ,20200327,93019320,755586,0,0,S,22600,300,755585,231595
000629.SZ,20200327,93020540,760927,0,0,S,22600,1200,760926,231595
000629.SZ,20200327,93021300,764392,0,0,S,22600,4500,764391,231595
000629.SZ,20200327,93022280,770470,0,0,S,22600,1200,770469,231595
000629.SZ,20200327,93022330,770915,0,0,S,22600,6800,770914,231595
000629.SZ,20200327,93022330,770916,0,0,S,22600,10000,770914,233303
000629.SZ,20200327,93022330,770917,0,0,S,22600,100,770914,236698
000629.SZ,20200327,93022330,770918,0,0,S,22600,83100,770914,240852
000629.SZ,20200327,93026060,789165,C,0,0,0,300,470395,0
000629.SZ,20200327,93026720,792067,C,0,0,0,800,678332,0
000629.SZ,20200327,93028270,800613,C,0,0,0,47600,728070,0
000629.SZ,20200327,93029090,804580,0,0,S,22600,14200,804579,240852
000629.SZ,20200327,93030590,811363,C,0,0,0,1000,793264,0
000629.SZ,20200327,93030590,811365,0,0,S,22600,1000,811364,240852
000629.SZ,20200327,93033810,829176,0,0,S,22600,1000,829175,240852
000629.SZ,20200327,93036310,843306,0,0,S,22600,3900,843305,240852
000629.SZ,20200327,93036600,844881,0,0,S,22600,7300,844880,240852
000629.SZ,20200327,93036600,844882,0,0,S,22600,5000,844880,247732
000629.SZ,20200327,93036600,844884,0,0,S,22600,5000,844883,247732
000629.SZ,20200327,93036600,844885,0,0,S,22600,100,844883,257361
000629.SZ,20200327,93036600,844886,0,0,S,22600,400,844883,269874
000629.SZ,20200327,93037050,848121,0,0,S,22600,300,848120,269874
000629.SZ,20200327,93037200,849466,C,0,0,0,32000,426334,0
000629.SZ,20200327,93037640,852317,0,0,S,22600,4300,852316,269874
000629.SZ,20200327,93037640,852318,0,0,S,22600,5600,852316,277743
000629.SZ,20200327,93039610,861737,0,0,S,22600,5700,861736,277743
000629.SZ,20200327,93041370,872420,C,0,0,0,13000,427128,0
000629.SZ,20200327,93042320,876803,0,0,S,22600,36700,876802,277743
000629.SZ,20200327,93042320,876804,0,0,S,22600,10000,876802,282440
000629.SZ,20200327,93042320,876805,0,0,S,22600,100,876802,282828
000629.SZ,20200327,93042320,876806,0,0,S,22600,5500,876802,291536
000629.SZ,20200327,93042320,876807,0,0,S,22600,14500,876802,309950
000629.SZ,20200327,93042320,876808,0,0,S,22600,10000,876802,314929
000629.SZ,20200327,93042320,876809,0,0,S,22600,20000,876802,367599
000629.SZ,20200327,93042320,876810,0,0,S,22600,3200,876802,391766
000629.SZ,20200327,93043290,883222,C,0,0,0,2600,0,585923
000629.SZ,20200327,93045680,894530,0,0,S,22600,6800,894529,391766
000629.SZ,20200327,93045680,894531,0,0,S,22600,5700,894529,398761
000629.SZ,20200327,93045700,894663,0,0,S,22600,4300,894662,398761
000629.SZ,20200327,93045700,894664,0,0,S,22600,200,894662,422687
000629.SZ,20200327,93045700,894665,0,0,S,22600,1500,894662,441429
000629.SZ,20200327,93045700,894666,0,0,S,22600,100,894662,441839
000629.SZ,20200327,93045700,894667,0,0,S,22600,6400,894662,471191
000629.SZ,20200327,93045700,894669,0,0,S,22600,19600,894668,471191
000629.SZ,20200327,93045700,894670,0,0,S,22600,5000,894668,482491
000629.SZ,20200327,93045700,894671,0,0,S,22600,10000,894668,524997
000629.SZ,20200327,93045700,894672,0,0,S,22600,2000,894668,541022
000629.SZ,20200327,93045700,894673,0,0,S,22600,1000,894668,554543
000629.SZ,20200327,93045700,894674,0,0,S,22600,6200,894668,555597
000629.SZ,20200327,93045700,894675,0,0,S,22600,1000,894668,639144
000629.SZ,20200327,93045700,894676,0,0,S,22600,10000,894668,652334
000629.SZ,20200327,93045700,894677,0,0,S,22600,100,894668,664143
000629.SZ,20200327,93045700,894678,0,0,S,22600,4200,894668,667663
000629.SZ,20200327,93045700,894679,0,0,S,22600,400,894668,679724
000629.SZ,20200327,93045700,894680,0,0,S,22600,2000,894668,702757
