,time,order,order_kind,function_code,order_price,order_volume
1167,93011190,704787,0,B,21200,200
1168,93011510,707291,0,S,22700,200
1169,93011560,707912,0,B,22400,200
1170,93011570,708007,0,B,22400,6000
1171,93011750,709187,0,S,22800,50000
1172,93011850,709760,0,S,22700,7500
1173,93011950,710327,0,S,22900,8700
1174,93011980,710558,0,S,24600,200
1175,93012290,712546,0,S,23700,10000
1176,93012560,714948,0,B,22700,2000
1177,93012580,715158,0,B,22600,3000
1178,93012660,715724,0,B,22600,100
1179,93012750,716327,0,B,22600,5300
1180,93012820,716821,0,S,22900,8000
1181,93012820,716900,0,S,23900,8300
1182,93013390,721650,0,B,22700,2300
1183,93013770,724551,0,S,24800,200
1184,93014060,726161,0,B,22200,200
1185,93014210,727086,0,S,22700,4500
1186,93014250,727306,0,S,23600,3200
1187,93014300,727692,0,B,22300,20000
1188,93014340,728070,0,S,23000,47600
1189,93014840,730942,0,S,23100,10000
1190,93015210,732755,0,S,23100,4000
1191,93015300,733412,0,S,23300,2900
1192,93015370,733973,0,S,22600,200
1193,93017580,746398,0,S,22700,1000
1194,93017590,746403,0,S,22700,300
1195,93017590,746404,0,S,22700,300
1196,93017590,746405,0,S,22700,500
1197,93017590,746406,0,S,22700,500
1198,93017590,746407,0,S,22700,200
1199,93017900,747484,0,S,22700,400
1200,93018870,752406,0,B,22000,5000
1201,93019320,755585,0,S,22600,300
1202,93019920,758514,0,B,22600,1800
1203,93020540,760926,0,S,22600,1200
1204,93021300,764391,0,S,22600,4500
1205,93021560,765586,0,S,24100,11000
1206,93022280,770469,0,S,22500,1200
1207,93022330,770914,0,S,22600,100000
1208,93022880,773835,0,S,23500,10500
1209,93023860,777821,0,S,23100,1500
1210,93026080,789242,0,S,23200,2300
1211,93027020,793215,0,B,22600,800
1212,93027030,793264,0,S,22700,1000
1213,93027130,793726,0,S,22700,30000
1214,93027530,795708,0,S,22700,2300
1215,93027530,795720,0,S,22700,700
1216,93027530,795746,0,S,22700,700
1217,93027540,795790,0,S,22700,800
1218,93028660,802655,0,S,22700,20000
1219,93029090,804579,0,S,22600,14200
1220,93029790,808030,0,B,22600,4500
1221,93030370,810282,0,B,22200,3000
1222,93030590,811364,0,S,22600,1000
1223,93030630,811612,0,B,22500,100
1224,93030650,811743,0,B,22600,100
1225,93030950,813905,0,S,22700,25500
1226,93031200,815869,0,S,23100,1000
1227,93031440,817729,0,B,22100,10000
1228,93032070,820799,0,B,22600,13700
1229,93033170,825839,0,S,22700,5000
